NewHash(v1.38),BaseHash
4EDE34FBADD967A6,4EDE34FBADD967A6
E81651AD79516E48,E81651AD79516E48
B8BA7F44DF1575E1,B8BA7F44DF1575E1
EB1C67C3A5333A92,EB1C67C3A5333A92
C4BB298BD441BE78,C4BB298BD441BE78
83666F9FB8FEBD4B,83666F9FB8FEBD4B
C9D9444186B5A374,C9D9444186B5A374
C1B1E9A034A63A62,C1B1E9A034A63A62
5AE11BC36633DE4E,5AE11BC36633DE4E
0000000050597EE2,0000000050597EE2
0BADBFA3B172435F,0BADBFA3B172435F
D0FFB162F40A139C,D0FFB162F40A139C
71D93B57D07F9804,71D93B57D07F9804
E3621CC40F31FE2E,E3621CC40F31FE2E
E816E655DE37FE20,E816E655DE37FE20
652D2EEEF1D3E62C,652D2EEEF1D3E62C
A8CEACB4F35AE058,A8CEACB4F35AE058
2A488C176D52CCA5,2A488C176D52CCA5
B7A628320EFF8E47,B7A628320EFF8E47
EDD95A39E5544DE8,EDD95A39E5544DE8
97EF1E5BCE9DC075,97EF1E5BCE9DC075
F34EE736CF047844,F34EE736CF047844
11E019C8F43ACC8A,11E019C8F43ACC8A
F2DB717A73826179,F2DB717A73826179
BBDA792448DB5A89,BBDA792448DB5A89
42B65DEEF2EDF2A1,42B65DEEF2EDF2A1
1CA59E306ECB80A5,35BEDD7AFD26FCD5
57D158647A6BFABF,41BB6B0BDB7933FF
CA97246103B63917,930F75DAF7DE892B
C968670BFACE42D9,4210287E2833D44B
D3C2E180A40F031E,2CA4B93E310C1860
D9D2CFFF49FAB35F,F471787D45ADC2C1
0B40ED49D7D6FF84,C2CA68A647DFDEE7
4D953DF78EBF8158,E3937CF873D88258
C4301E5121A0ED73,C189FA1CE4E3B2A5
208784099002BC30,E9F487B66E055135
20B60995556D004F,591190E69BE43117
E33D59DA70B58FDF,3D6C3476988DE6E1
A56F01F3765B93A0,6AF7EE4DD9F8B944
971D38760FBC02EF,504B26425DFF773C
22B0D0E37CCB840D,1DC2BF231DE6A016
2595DD4236549CE3,0F3BD19FF11738D3
F92691AED837A5FC,C96B0C85BE0E0287
4C241E39B23DF959,BFCE58B2B3249999
423E8DE37D934D89,EACFC87E44438F24
BF25EB89375A37AD,78B2DF314748056B
340E61DE7F471565,272ACC75FC69F0B5
9B0BB33B04405E7A,7C0C012482836EE9
293220DA1B46CEBC,2DC2890038BFF758
B6997A7EB3F5C8C0,0BF0F8F3AD0993F6
